,縣市,鄉鎮,村里,土石流潛勢溪流編號,重要地標,參考雨量站  第一參考/第二參考,警戒值
0,臺東縣,卑南鄉,嘉豐村,東縣DF075,東38線1.5K,臺東茶改/  鹿野,500
1,臺東縣,卑南鄉,嘉豐村,東縣DF074,東37線起點,臺東茶改/  鹿野,500
2,臺東縣,卑南鄉,嘉豐村,東縣DF073,東38線3.2K,臺東茶改/  鹿野,500
3,臺東縣,卑南鄉,嘉豐村,東縣DF072,東38線3.4K山里一號橋,臺東茶改/  鹿野,500
4,臺東縣,卑南鄉,嘉豐村,東縣DF071,東38線7.5K,利吉國小/  檳榔四格山,500
5,臺東縣,卑南鄉,嘉豐村,東縣DF070,東38線8.3K山里三號橋,利吉國小/  檳榔四格山,500
6,臺東縣,卑南鄉,溫泉村,東縣DF065,194線3K,知本/  知本(5),500
7,臺東縣,卑南鄉,溫泉村,東縣DF064,老爺酒店,知本/  知本(5),500
8,臺東縣,卑南鄉,溫泉村,東縣DF063,樂山支橋,知本/  知本(5),500
9,臺東縣,卑南鄉,溫泉村,東縣DF062,194線2K,知本/  知本(5),500
