,縣市,鄉鎮,村里,土石流潛勢溪流編號,重要地標,參考雨量站  第一參考/第二參考,警戒值
0,臺東縣,達仁鄉,土板村,東縣DF087,東68線6K+792土[板]三號橋,土阪/  愛國埔分校,500
1,臺東縣,達仁鄉,土板村,東縣DF086,土[板]二號橋,土阪/  愛國埔分校,500
2,臺東縣,達仁鄉,土板村,東縣DF085,東68線5K土[板]一號橋,土阪/  愛國埔分校,500
3,臺東縣,達仁鄉,土板村,東縣DF084,土[板]產業道路,土阪/  愛國埔分校,500
4,臺東縣,鹿野鄉,龍田村,東縣DF025,慈懷園禮儀社,鹿野/  臺東茶改,600
5,臺東縣,鹿野鄉,瑞豐村,東縣DF024,瑞豐派出所,瑞和/  加拿國小,600
6,臺東縣,鹿野鄉,瑞和村,東縣DF026,寶華大橋,瑞和/  加拿國小,600
7,臺東縣,海端鄉,霧鹿村,東縣DF011,台20線194K霧谷橋,下馬/  霧鹿,600
8,臺東縣,海端鄉,霧鹿村,東縣DF010,台20線193.25K,下馬/  霧鹿,600
9,臺東縣,海端鄉,霧鹿村,東縣DF009,台20線192.1K道路箱涵,下馬/  霧鹿,600
