,縣市,鄉鎮,村里,土石流潛勢溪流編號,重要地標,參考雨量站  第一參考/第二參考,警戒值
0,苗栗縣,大湖鄉,大南村,苗縣DF047,苗61線4.8K,南勢山/  大湖分場,500
1,苗栗縣,大湖鄉,大南村,苗縣DF046,大南國小,南勢山/  大湖分場,500
2,苗栗縣,三灣鄉,大河村,苗縣DF002,三合坑三橋,大河/  大河,500
3,屏東縣,霧臺鄉,霧臺村,屏縣DF001,台24線43.2K,阿禮/  神山,400
4,屏東縣,霧臺鄉,阿禮村,屏縣DF002,台24線終點,阿禮/  神山,400
5,屏東縣,瑪家鄉,瑪家村,屏縣DF019,好茶獅子橋,瑪家/  新瑪家,500
6,屏東縣,瑪家鄉,涼山村,屏縣DF066,寶成橋,三地門/  三地門,500
7,屏東縣,瑪家鄉,佳義村,屏縣DF018,民善橋,佳義國小/  龍泉,500
8,屏東縣,瑪家鄉,佳義村,屏縣DF017,185線33.6K維新橋,佳義國小/  龍泉,500
9,屏東縣,瑪家鄉,佳義村,屏縣DF016,佳義橋,佳義國小/  龍泉,500
