,縣市,鄉鎮,村里,土石流潛勢溪流編號,重要地標,參考雨量站  第一參考/第二參考,警戒值
0,新竹縣,橫山鄉,內灣村,竹縣DF026,內灣國小,內灣國小/  梅花,500
1,新竹縣,橫山鄉,內灣村,竹縣DF025,攀龍吊橋,內灣國小/  梅花,500
2,新竹縣,橫山鄉,大肚村,竹縣DF021,大肚國小,橫山/  內灣國小,500
3,新竹縣,新埔鎮,文山里,竹縣DF001,文山國小,新埔/  新埔(1),500
4,新竹縣,峨眉鄉,七星村,竹縣DF035,獅山遊客中心,峨眉/  南庄,600
5,新竹縣,峨眉鄉,七星村,竹縣DF034,獅山遊客中心,峨眉/  南庄,600
6,新竹縣,峨眉鄉,七星村,竹縣DF033,七星橋,峨眉/  南庄,600
7,新竹縣,芎林鄉,華龍村,竹縣DF020,華龍社區活動中心,飛鳳山/  橫山,550
8,新竹縣,芎林鄉,永興村,竹縣DF019,永興九號橋,飛鳳山/  橫山,550
9,新竹縣,芎林鄉,永興村,竹縣DF018,碧潭國小,飛鳳山/  橫山,550
